name,version,debian_min_version,debian_codenames
auditd,latest,12,"bookworm"
audispd-plugins,latest,12,"bookworm"
suricata,latest,12,"bookworm"
fail2ban,latest,12,"bookworm"
rkhunter,latest,12,"bookworm"
chkrootkit,latest,12,"bookworm"
unhide,latest,12,"bookworm"
debsums,latest,12,"bookworm"
lynis,latest,12,"bookworm"
clamav,latest,12,"bookworm"
clamav-daemon,latest,12,"bookworm"
clamav-freshclam,latest,12,"bookworm"
yara,latest,12,"bookworm"
aide,latest,12,"bookworm"
aide-common,latest,12,"bookworm"
rsyslog,latest,12,"bookworm"
logrotate,latest,12,"bookworm"
needrestart,latest,12,"bookworm"
apt-listchanges,latest,12,"bookworm"
apt-listbugs,latest,12,"bookworm"
unattended-upgrades,latest,12,"bookworm"
apt-transport-https,latest,12,"bookworm"
ca-certificates,latest,12,"bookworm"
software-properties-common,latest,12,"bookworm"
lsb-release,latest,12,"bookworm"
gnupg,latest,12,"bookworm"
openssh-server,latest,12,"bookworm"
openssh-client,latest,12,"bookworm"
ufw,latest,12,"bookworm"
systemd-timesyncd,latest,12,"bookworm"
apparmor,latest,12,"bookworm"
apparmor-profiles,latest,12,"bookworm"
apparmor-utils,latest,12,"bookworm"
firejail,latest,12,"bookworm"
libpam-pwquality,latest,12,"bookworm"
libpam-google-authenticator,latest,12,"bookworm"
libpam-tmpdir,latest,12,"bookworm"
curl,latest,12,"bookworm"
wget,latest,12,"bookworm"
lsof,latest,12,"bookworm"
psmisc,latest,12,"bookworm"
procps,latest,12,"bookworm"
git,latest,12,"bookworm"
